Unnamed: 0,word,meaning
675,enervated,feeling tired and weak
676,enlist,To join the armed forces.
677,entice,To persuade someone to do something by offering them something pleasant.
678,enumerate,"To name things separately, one by one."
679,equitable,fair and reasonable because everyone is treated in the same way
680,ethos,"The set of beliefs, ideas, etc. about the social behaviour and relationships of a person or group."
681,expedite,To make something happen more quickly.
682,flyer,an announcement or advertisement that is printed on a sheet of paper and given to people
683,hike,"A long walk, especially in the countryside."
684,icing,"A sweet food used to cover or fill cakes, made from sugar and water or sugar and butter."
685,imminent,Coming or likely to happen very soon.
686,impede,To make it more difficult for something to happen or more difficult for someone to do something.
687,influx,The fact of a large number of people or things arriving at the same time.
688,insignia,"a mark or sign that shows someone's rank or status, or what organization they belong to"
689,lofty,a lofty building or structure is very tall
690,meagre,(of amounts or numbers) very small or not enough.
691,meddle,"To try to change or have an influence on things that are not your responsibility, especially by criticizing in a damaging or annoying way."
692,meritocracy,a system or society in which people have influence or status according to their abilities and achievements rather than because of the social class to which they belong
693,noose,One end of a rope tied to form a circle that can be tightened round something such as a person's neck to hang (= kill) them.
694,nullify,to make something lose its legal effect
695,in the offing,Likely to happen soon; We have several projects in the offing.
696,pre-emptive,"Describes something that is done before other people can act, especially to prevent them from doing something else."
697,railing,"A vertical post, usually metal or wooden, that is used together with other such posts to form a fence."
698,splurge,"To spend a lot of money on buying goods, especially expensive goods."
699,stalemate,A situation in which neither group involved in an argument can win or get an advantage and no action can be taken.
700,tang,"A strong, sharp taste or smell."
701,tightrope,"A tightly stretched wire or rope fixed high above the ground, which skilled people walk across, especially in order to entertain others."
702,well-off,"rich, or having enough money to live well"
703,prospect,The possibility that something good might happen in the future.
704,volley,A large number of bullets (seeming to be) fired at the same time.
705,remonstrate,"to argue with, complain to, or criticize someone about something"
706,strait,A narrow area of sea that connects two larger areas of sea.
707,make ends meet,"to have enough money to pay for your basic expenses. To make ends meet, she runs a day-care center out of her home."
